Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby.CaseSensitive,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby.TableName,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby.ColumnName,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby.Condition,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby.EqualsCondition,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,EmbeddedDerby.Literal,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTask,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingTableQuerier,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,SchemaMapping.FieldSetter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,BufferedRecordsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc,JdbcSourceConnectorTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc,JdbcSourceConnector,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,MockDatabaseDialect.Provider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,GenericDatabaseDialectTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,DatabaseDialectsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,GenericDatabaseDialectTypeTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,DatabaseDialect,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,SqliteDatabaseDialect.Provider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,VerticaDatabaseDialect.Provider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,GenericDatabaseDialect,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,GenericDatabaseDialect.Provider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,SqlServerDatabaseDialect.Provider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,DatabaseDialectProvider.SubprotocolBasedProvider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,DatabaseDialectProvider.FixedScoreProvider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,OracleDatabaseDialect.Provider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,DerbyDatabaseDialect.Provider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,PostgreSqlDatabaseDialect.Provider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,MySqlDatabaseDialect.Provider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,Db2DatabaseDialect.Provider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,SapHanaDatabaseDialect.Provider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.dialect,SybaseDatabaseDialect.Provider,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
